"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 15 06:38:45 UTC 2025","Wed Oct 15 06:38:59 UTC 2025","13713","Smoke Test Suite","Smoke Tests","tests.UserProfileTests","tests.UserProfileTests","testUpdateFullname","USER-02: Update fullname successfully","Verify that user can successfully update their full name in profile"
"passed","Wed Oct 15 06:38:06 UTC 2025","Wed Oct 15 06:38:24 UTC 2025","17915","Smoke Test Suite","Smoke Tests","tests.CartTests","tests.CartTests","testAddSingleProductToCart","CART-01: Add single product to cart","Verify that a user can successfully add a single product to the shopping cart"
"passed","Wed Oct 15 06:37:46 UTC 2025","Wed Oct 15 06:37:51 UTC 2025","4769","Smoke Test Suite","Smoke Tests","tests.SearchTests","tests.SearchTests","testSearchWithSpecialCharacters","SEARCH-02: Search with special characters","Verify system behavior when searching with special characters"
"passed","Wed Oct 15 06:37:46 UTC 2025","Wed Oct 15 06:37:56 UTC 2025","10374","Smoke Test Suite","Smoke Tests","tests.ProductDetailTests","tests.ProductDetailTests","testVerifyProductDetailsDisplayed","PRODUCT-01: Verify product details displayed","Verify that product details page displays product name and information correctly"
"passed","Wed Oct 15 06:37:32 UTC 2025","Wed Oct 15 06:37:36 UTC 2025","4099","Smoke Test Suite","Smoke Tests","tests.RegisterTests","tests.RegisterTests","testRegisterWithInvalidEmail","REG-02: Register with invalid email","Verify that registration fails when using an invalid email format"
"passed","Wed Oct 15 06:38:03 UTC 2025","Wed Oct 15 06:38:19 UTC 2025","15604","Smoke Test Suite","Smoke Tests","tests.ProductDetailTests","tests.ProductDetailTests","testAddProductToCartShowsNotification","PRODUCT-02: Add product to cart shows success notification","Verify that success notification is displayed after adding product to cart"
"passed","Wed Oct 15 06:37:32 UTC 2025","Wed Oct 15 06:37:37 UTC 2025","5785","Smoke Test Suite","Smoke Tests","tests.SearchTests","tests.SearchTests","testSearchWithValidKeyword","SEARCH-01: Search with valid keyword returns results","Verify that searching with a valid keyword returns relevant product results"
"passed","Wed Oct 15 06:38:26 UTC 2025","Wed Oct 15 06:38:39 UTC 2025","12984","Smoke Test Suite","Smoke Tests","tests.UserProfileTests","tests.UserProfileTests","testUpdatePhoneSuccess","USER-01: Update phone number successfully","Verify that user can successfully update their phone number in profile"
"passed","Wed Oct 15 06:37:57 UTC 2025","Wed Oct 15 06:37:58 UTC 2025","1421","Smoke Test Suite","Smoke Tests","tests.SearchTests","tests.SearchTests","testSearchSuggestionsContainKeyword","SEARCH-04: Search suggestions contain correct keyword","Verify that search suggestions contain the entered keyword"
"passed","Wed Oct 15 06:38:28 UTC 2025","Wed Oct 15 06:38:42 UTC 2025","13368","Smoke Test Suite","Smoke Tests","tests.LoginTests","tests.LoginTests","testLoginWithInvalidEmail","AUTH-LI-02: Login with invalid email","Verify that login fails when using an invalid email format"
"passed","Wed Oct 15 06:37:31 UTC 2025","Wed Oct 15 06:37:38 UTC 2025","6944","Smoke Test Suite","Smoke Tests","tests.LoginTests","tests.LoginTests","testLoginWithValidCredentials","AUTH-LI-01: Login with valid credentials","Verify that a user can successfully login with valid email and password credentials"
"passed","Wed Oct 15 06:38:48 UTC 2025","Wed Oct 15 06:39:02 UTC 2025","13145","Smoke Test Suite","Smoke Tests","tests.LoginTests","tests.LoginTests","testLoginWithNonExistentAccount","AUTH-LI-04: Login with non-existent account","Verify that login fails when using credentials that don't exist in the system"
"passed","Wed Oct 15 06:39:00 UTC 2025","Wed Oct 15 06:39:17 UTC 2025","17630","Smoke Test Suite","Smoke Tests","tests.E2ETests","tests.E2ETests","testLoginSearchAddToCart","E2E-01: Login -> Search -> Add to cart -> Verify cart","Verify complete user journey from login to cart verification"
"passed","Wed Oct 15 06:38:32 UTC 2025","Wed Oct 15 06:38:54 UTC 2025","22085","Smoke Test Suite","Smoke Tests","tests.CartTests","tests.CartTests","testRemoveproductfromcart","CART-07: Verify remove product in cart","Verify remove product in cart"
"passed","Wed Oct 15 06:39:04 UTC 2025","Wed Oct 15 06:39:20 UTC 2025","15548","Smoke Test Suite","Smoke Tests","tests.CheckoutTests","tests.CheckoutTests","testCheckoutMissingPhoneNumber","CHECKOUT-01: Verify error when phone number is missing","Verify that checkout process shows error when mandatory phone number field is missing"
