"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Authentication","Login Functionality","User Login","0","0","1","0","0"
"Authentication","Login Functionality","User Login - Validation","0","0","3","0","0"
"E-Commerce","Product Search","Search Persistence","0","0","1","0","0"
"E-Commerce","Product Details","Add to Cart","0","0","1","0","0"
"E-Commerce","Shopping Cart","Add Products to Cart","0","0","4","0","0"
"E-Commerce","Product Search","Search Autocomplete","0","0","2","0","0"
"Authentication","User Registration","User Registration - Validation","0","0","2","0","0"
"User Management","User Profile","Profile Update","0","0","3","0","0"
"Authentication","Login Functionality","User Login - Negative Scenarios","0","0","2","0","0"
"E-Commerce","Product Search","Product Search","0","0","2","0","0"
"E-Commerce","Checkout Process","Checkout Validation","0","0","1","0","0"
"E-Commerce","Product Search","Search Consistency","0","0","1","0","0"
"E-Commerce","Shopping Cart","Cart Verification","0","0","3","0","0"
"E-Commerce","Shopping Cart","Manage Cart Quantity","0","0","2","0","0"
"E-Commerce","Product Search","Search - Load More Feature","0","1","0","0","0"
"Authentication","User Registration","User Registration","0","0","1","0","0"
"E-Commerce","Product Details","Quantity Management","0","0","1","0","0"
"E-Commerce","Product Search","Product Search - Edge Cases","0","1","1","0","0"
"E-Commerce","Product Details","Pricing and Discounts","1","0","0","0","0"
"E-Commerce","End-to-End User Journey","Complete User Journey","0","0","1","0","0"
"E-Commerce","Product Details","Product History","0","0","1","0","0"
"User Management","User Profile","Profile Navigation","0","0","1","0","0"
"E-Commerce","Product Details","Product Information","0","0","1","0","0"
