"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 16 07:31:08 UTC 2026","Thu Apr 16 07:31:17 UTC 2026","8442","TNC Store Test Suite","Full Test Suite","tests.UserProfileTests","tests.UserProfileTests","testUpdatePhoneSuccess","USER-01: Update phone number successfully","Verify that user can successfully update their phone number in profile"
"passed","Thu Apr 16 07:30:39 UTC 2026","Thu Apr 16 07:30:49 UTC 2026","10765","TNC Store Test Suite","Full Test Suite","tests.UserProfileTests","tests.UserProfileTests","testUpdateAddress","USER-03: Update address successfully","Verify that user can successfully update their address in profile"
"passed","Thu Apr 16 07:31:08 UTC 2026","Thu Apr 16 07:31:11 UTC 2026","2479","TNC Store Test Suite","Full Test Suite","tests.ProductDetailTests","tests.ProductDetailTests","testProductViewedList","PRODUCT-04: Verify viewed products list","Verify that previously viewed products appear in the viewed products list"
"passed","Thu Apr 16 07:32:50 UTC 2026","Thu Apr 16 07:33:02 UTC 2026","12037","TNC Store Test Suite","Full Test Suite","tests.LoginTests","tests.LoginTests","testLoginWithInvalidEmail","AUTH-LI-02: Login with invalid email","Verify that login fails when using an invalid email format"
"passed","Thu Apr 16 07:32:00 UTC 2026","Thu Apr 16 07:32:01 UTC 2026","378","TNC Store Test Suite","Full Test Suite","tests.SearchTests","tests.SearchTests","testSuggestionListDisplayed","SEARCH-07: Verify suggestion list is displayed","Verify that search suggestions list is displayed when typing"
"broken","Thu Apr 16 07:30:54 UTC 2026","Thu Apr 16 07:31:03 UTC 2026","9029","TNC Store Test Suite","Full Test Suite","tests.UserProfileTests","tests.UserProfileTests","testUpdateFullname","USER-02: Update fullname successfully","Verify that user can successfully update their full name in profile"
"passed","Thu Apr 16 07:32:00 UTC 2026","Thu Apr 16 07:32:13 UTC 2026","12697","TNC Store Test Suite","Full Test Suite","tests.LoginTests","tests.LoginTests","testLoginWithEmptyPassword","AUTH-LI-06: Login with empty password","Verify that login fails when password field is left empty"
"passed","Thu Apr 16 07:31:23 UTC 2026","Thu Apr 16 07:31:36 UTC 2026","13322","TNC Store Test Suite","Full Test Suite","tests.LoginTests","tests.LoginTests","testLoginWithBothFieldsEmpty","AUTH-LI-07: Login with both fields empty","Verify that login fails when both email and password fields are empty"
"broken","Thu Apr 16 07:30:58 UTC 2026","Thu Apr 16 07:31:14 UTC 2026","15599","TNC Store Test Suite","Full Test Suite","tests.CartTests","tests.CartTests","testAddMultipleProductsToCartandRemoveOne","CART-08: Add multiple products to cart and remove one","Verify that user can add multiple different products to the cart and remove it"
"broken","Thu Apr 16 07:31:42 UTC 2026","Thu Apr 16 07:31:57 UTC 2026","15142","TNC Store Test Suite","Full Test Suite","tests.CartTests","tests.CartTests","testDecreaseItemQuantity","CART-03: Decrease item quantity in cart","Verify that user can decrease product quantity in the cart"
"failed","Thu Apr 16 07:30:54 UTC 2026","Thu Apr 16 07:31:15 UTC 2026","20834","TNC Store Test Suite","Full Test Suite","tests.SearchTests","tests.SearchTests","testSearchSuggestionsContainKeyword","SEARCH-04: Search suggestions contain correct keyword","Verify that search suggestions contain the entered keyword"
"passed","Thu Apr 16 07:31:57 UTC 2026","Thu Apr 16 07:31:59 UTC 2026","1908","TNC Store Test Suite","Full Test Suite","tests.RegisterTests","tests.RegisterTests","testRegisterWithInvalidEmail","REG-02: Register with invalid email","Verify that registration fails when using an invalid email format"
"passed","Thu Apr 16 07:32:15 UTC 2026","Thu Apr 16 07:32:16 UTC 2026","1209","TNC Store Test Suite","Full Test Suite","tests.RegisterTests","tests.RegisterTests","testRegisterWithValidData","REG-01: Register with valid data","Verify that a new user can successfully register with valid name, email, and password"
"broken","Thu Apr 16 07:32:21 UTC 2026","Thu Apr 16 07:32:36 UTC 2026","14055","TNC Store Test Suite","Full Test Suite","tests.CartTests","tests.CartTests","testRemoveproductfromcart","CART-07: Verify remove product in cart","Verify remove product in cart"
"broken","Thu Apr 16 07:30:35 UTC 2026","Thu Apr 16 07:30:52 UTC 2026","17099","TNC Store Test Suite","Full Test Suite","tests.CartTests","tests.CartTests","testAddMultipleProductsToCart_RemoveOneandChecktotalPrices","CART-08: Add multiple products to cart, remove one and check total prices ","Verify that user can add multiple different products to the cart and remove it and price is changed"
"broken","Thu Apr 16 07:30:26 UTC 2026","Thu Apr 16 07:30:30 UTC 2026","3987","TNC Store Test Suite","Full Test Suite","tests.SearchTests","tests.SearchTests","testSearchLoadMoreFunctionality","SEARCH-8: Verify 'Xem thêm' button loads additional products","Verify that clicking 'Xem thêm' loads more products instead of reloading the page."
"broken","Thu Apr 16 07:30:13 UTC 2026","Thu Apr 16 07:30:31 UTC 2026","17199","TNC Store Test Suite","Full Test Suite","tests.CheckoutTests","tests.CheckoutTests","testCheckoutMissingPhoneNumber","CHECKOUT-01: Verify error when phone number is missing","Verify that checkout process shows error when mandatory phone number field is missing"
"broken","Thu Apr 16 07:30:14 UTC 2026","Thu Apr 16 07:30:31 UTC 2026","16911","TNC Store Test Suite","Full Test Suite","tests.CartTests","tests.CartTests","testAddMultipleProductsToCart","CART-04: Add multiple products to cart","Verify that user can add multiple different products to the cart"
"broken","Thu Apr 16 07:32:57 UTC 2026","Thu Apr 16 07:33:11 UTC 2026","13916","TNC Store Test Suite","Full Test Suite","tests.CartTests","tests.CartTests","testVerifyFirstProductName","CART-06: Verify first product name in cart","Verify that product name in cart matches the added product"
"passed","Thu Apr 16 07:31:43 UTC 2026","Thu Apr 16 07:31:55 UTC 2026","12073","TNC Store Test Suite","Full Test Suite","tests.LoginTests","tests.LoginTests","testLoginWithEmptyEmail","AUTH-LI-05: Login with empty email","Verify that login fails when email field is left empty"
"failed","Thu Apr 16 07:31:15 UTC 2026","Thu Apr 16 07:31:19 UTC 2026","3549","TNC Store Test Suite","Full Test Suite","tests.ProductDetailTests","tests.ProductDetailTests","testSalePriceCorrect","PRODUCT-03: Verify sale price calculation is correct","Verify that sale price is calculated correctly based on original price and discount percentage"
"broken","Thu Apr 16 07:32:40 UTC 2026","Thu Apr 16 07:32:53 UTC 2026","13367","TNC Store Test Suite","Full Test Suite","tests.CartTests","tests.CartTests","testVerifyCartSize","CART-05: Verify cart size","Verify that cart size is correctly displayed after adding products"
"broken","Thu Apr 16 07:31:33 UTC 2026","Thu Apr 16 07:31:52 UTC 2026","19172","TNC Store Test Suite","Full Test Suite","tests.E2ETests","tests.E2ETests","testLoginSearchAddToCart","E2E-01: Login -> Search -> Add to cart -> Verify cart","Verify complete user journey from login to cart verification"
"broken","Thu Apr 16 07:31:19 UTC 2026","Thu Apr 16 07:31:36 UTC 2026","16650","TNC Store Test Suite","Full Test Suite","tests.CartTests","tests.CartTests","testAddSingleProductToCart","CART-01: Add single product to cart","Verify that a user can successfully add a single product to the shopping cart"
